Date : 2024-12-19 13:56:18
Directory : f:\NewWebApp\src
Total : 74 files,  -3000 codes, 38 comments, 215 blanks, all -2747 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\2024202501\Introduction\NewWebApp\package.json                                 | JSON               |        -27 |          0 |         -1 |        -28 |
| d:\2024202501\Introduction\NewWebApp\src\App.vue                                  | vue                |         -7 |          0 |         -6 |        -13 |
| d:\2024202501\Introduction\NewWebApp\src\api\user.js                              | JavaScript         |        -82 |        -24 |        -26 |       -132 |
| d:\2024202501\Introduction\NewWebApp\src\assets\logo\icon_wemeet.svg              | XML                |         -1 |          0 |          0 |         -1 |
| d:\2024202501\Introduction\NewWebApp\src\assets\logo\logout.svg                   | XML                |         -1 |          0 |          0 |         -1 |
| d:\2024202501\Introduction\NewWebApp\src\components\layouts\AdminHeader.vue       | vue                |        -46 |          0 |         -9 |        -55 |
| d:\2024202501\Introduction\NewWebApp\src\components\layouts\BaseHeader.vue        | vue                |        -55 |          0 |         -5 |        -60 |
| d:\2024202501\Introduction\NewWebApp\src\components\layouts\MainHeader.vue        | vue                |       -166 |         -3 |        -19 |       -188 |
| d:\2024202501\Introduction\NewWebApp\src\components\layouts\MainSider.vue         | vue                |       -115 |          0 |        -11 |       -126 |
| d:\2024202501\Introduction\NewWebApp\src\components\layouts\MeetingFooter.vue     | vue                |       -118 |         -1 |        -17 |       -136 |
| d:\2024202501\Introduction\NewWebApp\src\components\layouts\MeetingHeader.vue     | vue                |        -49 |          0 |         -9 |        -58 |
| d:\2024202501\Introduction\NewWebApp\src\components\layouts\MeetingSider.vue      | vue                |       -149 |         -2 |        -16 |       -167 |
| d:\2024202501\Introduction\NewWebApp\src\components\usersetting\ProfileChange.vue | vue                |        -38 |          0 |         -7 |        -45 |
| d:\2024202501\Introduction\NewWebApp\src\main.js                                  | JavaScript         |        -23 |          0 |         -7 |        -30 |
| d:\2024202501\Introduction\NewWebApp\src\router\index.js                          | JavaScript         |       -111 |          0 |         -3 |       -114 |
| d:\2024202501\Introduction\NewWebApp\src\stores\counter.js                        | JavaScript         |        -11 |        -22 |         -9 |        -42 |
| d:\2024202501\Introduction\NewWebApp\src\utils\request.js                         | JavaScript         |        -31 |         -1 |         -6 |        -38 |
| d:\2024202501\Introduction\NewWebApp\src\views\admin\Admin.vue                    | vue                |       -135 |          0 |        -21 |       -156 |
| d:\2024202501\Introduction\NewWebApp\src\views\login\AccountLogin.vue             | vue                |       -141 |         -4 |        -23 |       -168 |
| d:\2024202501\Introduction\NewWebApp\src\views\login\EmailLogin.vue               | vue                |       -140 |         -4 |        -16 |       -160 |
| d:\2024202501\Introduction\NewWebApp\src\views\main\BookMeeting.vue               | vue                |       -137 |          0 |        -17 |       -154 |
| d:\2024202501\Introduction\NewWebApp\src\views\main\Friend.vue                    | vue                |       -151 |          0 |        -20 |       -171 |
| d:\2024202501\Introduction\NewWebApp\src\views\main\JoinMeeting.vue               | vue                |       -116 |         -4 |        -16 |       -136 |
| d:\2024202501\Introduction\NewWebApp\src\views\main\Main.vue                      | vue                |        -38 |          0 |         -7 |        -45 |
| d:\2024202501\Introduction\NewWebApp\src\views\main\Record.vue                    | vue                |       -114 |          0 |        -11 |       -125 |
| d:\2024202501\Introduction\NewWebApp\src\views\main\RecordDetail.vue              | vue                |          0 |          0 |         -1 |         -1 |
| d:\2024202501\Introduction\NewWebApp\src\views\main\Schedule.vue                  | vue                |       -203 |         -1 |        -18 |       -222 |
| d:\2024202501\Introduction\NewWebApp\src\views\main\Setting.vue                   | vue                |         -7 |          0 |         -2 |         -9 |
| d:\2024202501\Introduction\NewWebApp\src\views\main\User.vue                      | vue                |       -339 |         -2 |        -36 |       -377 |
| d:\2024202501\Introduction\NewWebApp\src\views\meeting\Meeting.vue                | vue                |        -31 |          0 |         -5 |        -36 |
| d:\2024202501\Introduction\NewWebApp\src\views\register\Register.vue              | vue                |       -130 |          0 |        -17 |       -147 |
| d:\2024202501\Introduction\NewWebApp\src\views\test\button.vue                    | vue                |        -44 |          0 |         -4 |        -48 |
| d:\2024202501\Introduction\NewWebApp\src\views\test\plusIcon.vue                  | vue                |        -24 |          0 |          0 |        -24 |
| d:\2024202501\Introduction\NewWebApp\src\views\test\test.vue                      | vue                |        -50 |          0 |         -7 |        -57 |
| d:\2024202501\Introduction\NewWebApp\vite.config.js                               | JavaScript         |        -15 |         -1 |         -3 |        -19 |
| f:\NewWebApp\src\App.vue                                                          | vue                |          7 |          0 |          6 |         13 |
| f:\NewWebApp\src\api\user.js                                                      | JavaScript         |        213 |         47 |         70 |        330 |
| f:\NewWebApp\src\assets\logo\icon_wemeet.svg                                      | XML                |          1 |          0 |          0 |          1 |
| f:\NewWebApp\src\assets\logo\logout.svg                                           | XML                |          1 |          0 |          0 |          1 |
| f:\NewWebApp\src\components\layouts\AdminHeader.vue                               | vue                |         49 |          0 |          8 |         57 |
| f:\NewWebApp\src\components\layouts\BaseHeader.vue                                | vue                |         55 |          0 |          5 |         60 |
| f:\NewWebApp\src\components\layouts\MainHeader.vue                                | vue                |        166 |          3 |         19 |        188 |
| f:\NewWebApp\src\components\layouts\MainSider.vue                                 | vue                |        121 |          0 |         13 |        134 |
| f:\NewWebApp\src\components\layouts\MeetingFooter.vue                             | vue                |        269 |          4 |         26 |        299 |
| f:\NewWebApp\src\components\layouts\MeetingHeader.vue                             | vue                |         49 |          0 |          9 |         58 |
| f:\NewWebApp\src\components\layouts\MeetingSider.vue                              | vue                |        124 |          9 |         16 |        149 |
| f:\NewWebApp\src\components\search\SearchFriend.vue                               | vue                |        289 |          3 |         42 |        334 |
| f:\NewWebApp\src\components\usersetting\ProfileChange.vue                         | vue                |         38 |          0 |          7 |         45 |
| f:\NewWebApp\src\main.js                                                          | JavaScript         |         23 |          0 |          7 |         30 |
| f:\NewWebApp\src\router\index.js                                                  | JavaScript         |        131 |          0 |          3 |        134 |
| f:\NewWebApp\src\stores\counter.js                                                | JavaScript         |         11 |         22 |          9 |         42 |
| f:\NewWebApp\src\utils\request.js                                                 | JavaScript         |         31 |          1 |          8 |         40 |
| f:\NewWebApp\src\views\admin\Admin.vue                                            | vue                |        172 |          0 |         21 |        193 |
| f:\NewWebApp\src\views\login\AccountLogin.vue                                     | vue                |        175 |          4 |         25 |        204 |
| f:\NewWebApp\src\views\login\EmailLogin.vue                                       | vue                |        141 |          4 |         16 |        161 |
| f:\NewWebApp\src\views\main\BookMeeting.vue                                       | vue                |        137 |          0 |         17 |        154 |
| f:\NewWebApp\src\views\main\Chat.vue                                              | vue                |        453 |          2 |         54 |        509 |
| f:\NewWebApp\src\views\main\Friend.vue                                            | vue                |        409 |          1 |         59 |        469 |
| f:\NewWebApp\src\views\main\JoinMeeting.vue                                       | vue                |        116 |          4 |         16 |        136 |
| f:\NewWebApp\src\views\main\Main.vue                                              | vue                |         59 |          0 |          7 |         66 |
| f:\NewWebApp\src\views\main\Record.vue                                            | vue                |        120 |          0 |         12 |        132 |
| f:\NewWebApp\src\views\main\RecordDetail.vue                                      | vue                |         32 |          0 |          6 |         38 |
| f:\NewWebApp\src\views\main\Schedule.vue                                          | vue                |        206 |          1 |         18 |        225 |
| f:\NewWebApp\src\views\main\Setting.vue                                           | vue                |          7 |          0 |          2 |          9 |
| f:\NewWebApp\src\views\main\User.vue                                              | vue                |        339 |          2 |         36 |        377 |
| f:\NewWebApp\src\views\meeting\Meeting.vue                                        | vue                |        364 |          0 |         30 |        394 |
| f:\NewWebApp\src\views\register\Register.vue                                      | vue                |        130 |          0 |         17 |        147 |
| f:\NewWebApp\src\views\test\button.vue                                            | vue                |         44 |          0 |          4 |         48 |
| f:\NewWebApp\src\views\test\plusIcon.vue                                          | vue                |         24 |          0 |          0 |         24 |
| f:\NewWebApp\src\views\test\test.vue                                              | vue                |         90 |          0 |         17 |        107 |
| Total                                                                             |                    |     -3,000 |         38 |        215 |     -2,747 |
+-----------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
